Date,Oil,Coal,Gas,Elec,GSCI,VIX,STOXX,AAA,BAA,Diff_BAA_AAA,ECB_Spot_3M,eua07,eua08,eua09,eua10,eua11,eua12,eua13,eua14,eua15,eua16,eua17,eua18,eua19,eua20,eua21,eua22,eua2007_vol1,eua2007_vol2,eua2007_out,eua2008_vol1,eua2008_vol2,eua2008_out,eua2009_vol1,eua2009_vol2,eua2009_out,eua2010_vol1,eua2010_vol2,eua2010_out,eua2011_vol1,eua2011_vol2,eua2011_out,eua2012_vol1,eua2012_vol2,eua2012_out,eua2013_vol1,eua2013_vol2,eua2013_out,eua2014_vol1,eua2014_vol2,eua2014_out,eua2015_vol1,eua2015_vol2,eua2015_out,eua2016_vol1,eua2016_vol2,eua2016_out,eua2017_vol1,eua2017_vol2,eua2017_out,eua2018_vol1,eua2018_vol2,eua2018_out,eua2019_vol1,eua2019_vol2,eua2019_out,eua2020_vol1,eua2020_vol2,eua2020_out,eua2021_vol1,eua2021_vol2,eua2021_out,eua2022_vol1,eua2022_vol2,eua2022_out
20070614,70.96,76,9.825,37.4,,13.64,,,,,3.890676,0.19,23.65,23.95,24.4,24.85,25.3,,,,,,,,,,,253,253,46144,2802,2802,44710,231,231,13453,125,125,4940,68,68,1051,50,50,1576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20070615,71.47,76,10.09,37.4,495.599,13.94,399.27,5.87,6.76,0.89,3.893296,0.17,22.78,23.13,23.53,23.95,24.4,,,,,,,,,,,118,118,46184,3227,3227,44742,40,40,13491,70,70,4895,68,68,1041,50,50,1576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20070618,72.18,76,10.215,37.71,498.025,13.42,397.87,5.86,6.75,0.89,3.893671,0.14,21.9,22.1,22.48,22.85,23.23,,,,,,,,,,,192,192,46351,2989,2989,45471,75,75,13496,75,75,4870,68,68,1041,50,50,1576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20070619,71.84,76,10.08,37.59,493.359,12.85,396.42,5.81,6.69,0.88,3.899912,0.14,21.19,21.4,21.8,22.25,22.7,,,,,,,,,,,3984,3984,50028,4259,4259,45949,121,121,13584,75,75,4920,100,100,991,50,50,1576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20070620,70.42,76,10.05,38.25,490.62,14.67,397.85,5.85,6.71,0.86,3.891001,0.13,21.84,22.07,22.52,22.97,23.42,,,,,,,,,,,442,442,46834,2973,2973,46509,164,164,13712,90,90,4975,100,100,991,50,50,1576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20070621,70.22,76.75,10.096,37.97,489.18,14.21,393.7,5.89,6.76,0.87,3.90027,0.12,21.62,21.91,22.36,22.81,23.26,,,,,,,,,,,164,164,46832,4524,4524,46487,240,240,13904,40,40,4960,100,100,991,50,50,1576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20070622,71.18,77,10.15,37.3,488.813,15.75,392.43,5.86,6.74,0.88,3.90191,0.12,21.89,22.13,22.57,23,23.43,,,,,,,,,,,200,200,45423,3566,3566,45251,465,465,13952,50,50,4935,100,100,991,50,50,1576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20070625,71.36,81.86,10.112,37,487.924,16.65,391.94,5.8,6.68,0.88,3.906,0.11,21.18,21.48,21.88,22.31,22.73,,,,,,,,,,,200,200,45423,3298,3298,44839,55,55,13932,50,50,4935,100,100,991,50,50,1576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20070626,70.17,80.15,10.267,36.85,481.15,18.89,389.52,5.83,6.71,0.88,3.914534,0.13,21.07,21.37,21.84,22.17,22.57,,,,,,,,,,,480,480,45323,3885,3885,44970,45,45,13942,20,20,4935,100,100,991,50,50,1576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20070627,70.53,80.05,10.252,36.5,485.278,15.53,387.69,5.8,6.68,0.88,3.91079,0.13,21.43,21.73,22.11,22.48,22.86,,,,,,,,,,,350,350,45173,2973,2973,45553,376,376,13991,100,100,5035,100,100,991,50,50,1576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
